1062.6496,1081.1253,1062.6663,1067.1301,1078.8850,1077.3311,1045.6595,1049.0072,1119.8519
1103.0009,1049.5451,1098.0700,1107.9750,1062.8182,1058.9640,1221.9019,1245.3191,1024.3795
15948.1392,10174.0086,6926.0674,4428.0818,43888.0608,9284.0298,6308.1469,8438.7440,5703.9256
4055920849525.8452,571650574020789.6250,27766275723.3571,27250465378421.3125,9899686315098530.0000,186116136620.4036,8232371735270.0752,387988575218.4766,34331290666.7570
52413990480558888.0000,607028546023612416.0000,1275146768.8205,23795962111.4967,2744452140242654303491194880.0000,34594444272241.2891,809093762730967680.0000,1809299144275.7947,433687756.5697
6478793628203949917328679852240697312551685481704680931729042530187072472994898774513933132759040.0000,2307626849414525159993481256032644042426532826701179104788480.0000,63121865250923359934513369413639993015239040594393238030128250880.0000,69736475967241581708304454090956339834403689817494060531712.0000,6959760854720972443352553842765481893186635573511530800749036642974060887237856099738886563001049863365721224470213576243989772536013503707742208.0000,8352503208690078793023241495532018494407603585961587621487423104659488768.0000,6335881134022885328035755685179830369066360825170343734897257209294361655771136.0000,62361848552868433100670226278399209770442338399918110227618492463799799809835008.0000,903038924569855570119087285250354649191717817608342880806407387807219712.0000
5050857756902867330265370127631529256785720347013983917223171159842015004934106590792398959360095076183464208847872465043456.0000,84402186489560906652372960586469039947031978853279711760715666488424083235012608.0000,87789649712271362693192079228030830428062192685990019072.0000,733754387889073093438629006546407604017753786856185845574428736609072066701497032648192264013229823334802128920001276315907568756064256.0000,6149694445174112571478832198883407143198628237738805751704277379758413724249008498019602006541911342790194610045986389579603345146837583435899877075496132306205559208461483970002529209359580263677427712.0000,374209324319967731474356430976410616181141736197488269210586096514380870691258080941834240.0000,126419645022046954647490082661849658604661440619398031021495746702860908899916524565173073201143671167795836618390834709174482890672877239564072787703630898327276224532449520796889045383731999850172570906532713888191245770920063071618542938156314332179202048.0000,2236102663326396909841972637186267794872578826254202371698076857013675694335812251571975956667059516226137130732569574551264080793833322317117367044532201347457694610699057844703253203081893425871981632417902903692703574363804853835933709365619895204824116679648739328.0000,182789833624436631215968379308125391010720601136829550025134495396713054365391361800738411838296476894064175019832356272679231809379904905554648680585070614886941282941506223001056998013854336433102087871423750237257274407051191492240234223866567408801458009064799997507532189482352640.0000
832027761070315417637079744512.0000,7271850673512339456.0000,1544616734424614400.0000,300135843430668233659109081088.0000,36106520767797216734898359885594322687785898606592.0000,31720739800549731336192.0000,630883411637381034414060220384749702251054731624448.0000,1223243934688612974965215376883468518518114996521637038369275904.0000,25475765823086280329931381069637765997641945149827185815584768.0000
228436866052822915379279654872229819152325126940089380992210559085807165048787971342336.0000,74867467086979097758669005534968497191885077862149527162450870272.0000,5454060872820580614937513450502724203837285263745220608.0000,217788472367417056980723725719327335460581904385841539154864751506001707986380193786432001756446802364403715569154890833673271389500171354112.0000,4063332794227321358013596350523119360559162023735979376836811991298290590748055881303391014449782089694740968038127637190112749497108677338130251358666752.0000,350205820662158986789609855199891947477204726398111994515292160.0000,14239817933997102818186744913344938771238848354093278514426701292871024714878874803426423881153223761839589256123627624451252660708087987665991694814606086484667479948213476830142099357181399139172989194957622167360155680768.0000,inf,70673086776733760072957487678540478527287482227280340644917899016113845286896325802059774562115698895257399557618607676761394127676861985004442120299242946558184238000353541698630902124578719939041704839110317312551491595348783522893037339849034636077528346714956515411243136483351460805866351897152673808384.0000
8860233195254506737185885975557661679307113946318859683150912552960.0000,534008784448038991633438838594580931944386676125654602169188352.0000,47826799513502857173478450066771073923284992.0000,224340153688445730988963100798686490403588445320604867754908381865978351223198053781365384393318089606849628146078586837945074284102229067563008.0000,8607203737201884646103454873795592854839115410204346593164084312932852942124174071121569644544.0000,12542806447323148351196748501193715677270735921613234528496220104556544.0000,6341473222322556188368977471931457321357341079657123744599924055547170182831648240474252909951373207743906066211090020162196005404028908759826206383801753057157055850772343585142384843744464457039226204221331639260169484085773718712594989056.0000,846894138861609143012848016202727388846669691023089237132936708664053843811558792035574118536664099924226616837263660249900953306122451553385908973450862266508870342495806534244038142477751685118913858884576477140956315235415415342884149194120808873986724172855579987728978640003916485290032535437312.0000,4591428229456540036892410076752786350676103410802661024101746306742367952323195834177433099133219754344867668394552270293913348475485912002841560670208471084302548041428051408263399433477932578611871622834929402604078451463027710515730078751937588718701555567830379790336.0000
1211725249100509488467196727419466478611318439936.0000,77397834802302927698664291537412953469898994499943661568.0000,2749144119988850395901896679227392.0000,43741457606362088178439103906591688262751473087012412757805795060258471742239932416.0000,138224298361542337674065094059583167721922326805780923477634323009782368245934817946005143552.0000,10927653676883151369711264496497804687389423851124637564928.0000,57088041022192617675068173335315177175669312635338932997267683394113204558681574400579108289527464248866504528109278068736.0000,563985126112485167559781063431188151308798114899448540729248104917684615812368095019993768965355736580496145214966389227505935582837377915946430329018012584644008677100675399680.0000,5476625549846721078750536667498782092642069005721614449122997966259036830474266748371160638732845229302374533910423534283659401277274370038824960.0000
